"usageKey"	"scientificName"	"canonicalName"	"rank"	"status"	"confidence"	"matchType"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"synonym"	"class"	"acceptedUsageKey"	"verbatim_name"	"verbatim_index"
3025617	"Cotoneaster horizontalis Decne."	"Cotoneaster horizontalis"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Cotoneaster"	"Cotoneaster horizontalis"	6	7707728	220	691	5015	3025563	3025617	FALSE	"Magnoliopsida"	NA	"Cotoneaster horizontalis"	11
5329260	"Egeria densa Planch."	"Egeria densa"	"SPECIES"	"SYNONYM"	98	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Hydrocharitaceae"	"Elodea"	"Elodea densa"	6	7707728	196	551	3721	7454696	5329263	TRUE	"Liliopsida"	5329263	"Egeria densa"	12
2765940	"Eichhornia crassipes (Mart.) Solms"	"Eichhornia crassipes"	"SPECIES"	"SYNONYM"	98	"EXACT"	"Plantae"	"Tracheophyta"	"Commelinales"	"Pontederiaceae"	"Pontederia"	"Pontederia crassipes"	6	7707728	196	553	3731	2740415	2765942	TRUE	"Liliopsida"	2765942	"Eichhornia crassipes"	13
3039269	"Elaeagnus angustifolia L."	"Elaeagnus angustifolia"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Elaeagnaceae"	"Elaeagnus"	"Elaeagnus angustifolia"	6	7707728	220	691	2408	3039266	3039269	FALSE	"Magnoliopsida"	NA	"Elaeagnus angustifolia"	14
2865448	"Elodea canadensis Michx."	"Elodea canadensis"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Hydrocharitaceae"	"Elodea"	"Elodea canadensis"	6	7707728	196	551	3721	7454696	2865448	FALSE	"Liliopsida"	NA	"Elodea canadensis"	15
5329212	"Elodea nuttallii (Planch.) H.St.John"	"Elodea nuttallii"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Hydrocharitaceae"	"Elodea"	"Elodea nuttallii"	6	7707728	196	551	3721	7454696	5329212	FALSE	"Liliopsida"	NA	"Elodea nuttallii"	16
5334351	"Fallopia baldschuanica (Regel) Holub"	"Fallopia baldschuanica"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Caryophyllales"	"Polygonaceae"	"Fallopia"	"Fallopia baldschuanica"	6	7707728	220	422	2416	2889418	5334351	FALSE	"Magnoliopsida"	NA	"Fallopia baldschuanica"	17
3172348	"Fraxinus pennsylvanica Marshall"	"Fraxinus pennsylvanica"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Lamiales"	"Oleaceae"	"Fraxinus"	"Fraxinus pennsylvanica"	6	7707728	220	408	6652	3172323	3172348	FALSE	"Magnoliopsida"	NA	"Fraxinus pennsylvanica"	18
6063677	"Gymnocoronis spilanthoides DC."	"Gymnocoronis spilanthoides"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Asterales"	"Asteraceae"	"Gymnocoronis"	"Gymnocoronis spilanthoides"	6	7707728	220	414	3065	3142935	6063677	FALSE	"Magnoliopsida"	NA	"Gymnocoronis spilanthoides"	19
3119175	"Helianthus tuberosus L."	"Helianthus tuberosus"	"SPECIES"	"ACCEPTED"	98	"EXACT"	"Plantae"	"Tracheophyta"	"Asterales"	"Asteraceae"	"Helianthus"	"Helianthus tuberosus"	6	7707728	220	414	3065	3119134	3119175	FALSE	"Magnoliopsida"	NA	"Helianthus tuberosus"	20
3119181	"Helianthus ×laetiflorus Pers."	"Helianthus laetiflorus"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Asterales"	"Asteraceae"	"Helianthus"	"Helianthus laetiflorus"	6	7707728	220	414	3065	3119134	3119181	FALSE	"Magnoliopsida"	NA	"Helianthus x laetiflorus"	21
3034825	"Heracleum mantegazzianum Sommier & Levier"	"Heracleum mantegazzianum"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Apiales"	"Apiaceae"	"Heracleum"	"Heracleum mantegazzianum"	6	7707728	220	1351	6720	3034824	3034825	FALSE	"Magnoliopsida"	NA	"Heracleum mantegazzianum"	22
5329570	"Hydrilla verticillata (L.f.) Royle"	"Hydrilla verticillata"	"SPECIES"	"ACCEPTED"	98	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Hydrocharitaceae"	"Hydrilla"	"Hydrilla verticillata"	6	7707728	196	551	3721	2865997	5329570	FALSE	"Liliopsida"	NA	"Hydrilla verticillata"	23
7978544	"Hydrocotyle ranunculoides L.fil."	"Hydrocotyle ranunculoides"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Apiales"	"Araliaceae"	"Hydrocotyle"	"Hydrocotyle ranunculoides"	6	7707728	220	1351	8800	3034601	7978544	FALSE	"Magnoliopsida"	NA	"Hydrocotyle ranunculoides"	24
2891774	"Impatiens capensis Meerb."	"Impatiens capensis"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Ericales"	"Balsaminaceae"	"Impatiens"	"Impatiens capensis"	6	7707728	220	1353	6699	2891766	2891774	FALSE	"Magnoliopsida"	NA	"Impatiens capensis"	25
2891770	"Impatiens glandulifera Royle"	"Impatiens glandulifera"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Ericales"	"Balsaminaceae"	"Impatiens"	"Impatiens glandulifera"	6	7707728	220	1353	6699	2891766	2891770	FALSE	"Magnoliopsida"	NA	"Impatiens glandulifera"	26
8848208	"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal"	"Koenigia polystachya"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Caryophyllales"	"Polygonaceae"	"Koenigia"	"Koenigia polystachya"	6	7707728	220	422	2416	2889050	8848208	FALSE	"Magnoliopsida"	NA	"Koenigia polystachya"	27
5356345	"Laburnum anagyroides Medik."	"Laburnum anagyroides"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Laburnum"	"Laburnum anagyroides"	6	7707728	220	1370	5386	3234737	5356345	FALSE	"Magnoliopsida"	NA	"Laburnum anagyroides"	28
2865565	"Lagarosiphon major (Ridl.) Moss"	"Lagarosiphon major"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Hydrocharitaceae"	"Lagarosiphon"	"Lagarosiphon major"	6	7707728	196	551	3721	2865546	2865565	FALSE	"Liliopsida"	NA	"Lagarosiphon major"	29
2867614	"Lemna minuta Kunth"	"Lemna minuta"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Araceae"	"Lemna"	"Lemna minuta"	6	7707728	196	551	6979	2867567	2867614	FALSE	"Liliopsida"	NA	"Lemna minuta"	30
2867631	"Lemna turionifera Landolt"	"Lemna turionifera"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Araceae"	"Lemna"	"Lemna turionifera"	6	7707728	196	551	6979	2867567	2867631	FALSE	"Liliopsida"	NA	"Lemna turionifera"	31
5329643	"Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine"	"Limnobium laevigatum"	"SPECIES"	"SYNONYM"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Hydrocharitaceae"	"Hydrocharis"	"Hydrocharis laevigata"	6	7707728	196	551	3721	2865596	11055820	TRUE	"Liliopsida"	11055820	"Limnobium laevigatum"	32
5421039	"Ludwigia grandiflora (Michx.) Greuter & Burdet"	"Ludwigia grandiflora"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Myrtales"	"Onagraceae"	"Ludwigia"	"Ludwigia grandiflora"	6	7707728	220	690	2430	3189286	5421039	FALSE	"Magnoliopsida"	NA	"Ludwigia grandiflora"	33
5420991	"Ludwigia peploides (Kunth) P.H.Raven"	"Ludwigia peploides"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Myrtales"	"Onagraceae"	"Ludwigia"	"Ludwigia peploides"	6	7707728	220	690	2430	3189286	5420991	FALSE	"Magnoliopsida"	NA	"Ludwigia peploides"	34
3033865	"Mahonia aquifolium (Pursh) Nutt."	"Mahonia aquifolium"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Ranunculales"	"Berberidaceae"	"Mahonia"	"Mahonia aquifolium"	6	7707728	220	399	6673	3033842	3033865	FALSE	"Magnoliopsida"	NA	"Mahonia aquifolium"	35
5361785	"Myriophyllum aquaticum (Vell.) Verdc."	"Myriophyllum aquaticum"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Saxifragales"	"Haloragaceae"	"Myriophyllum"	"Myriophyllum aquaticum"	6	7707728	220	7219248	6694	2984253	5361785	FALSE	"Magnoliopsida"	NA	"Myriophyllum aquaticum"	36
5361762	"Myriophyllum heterophyllum Michx."	"Myriophyllum heterophyllum"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Saxifragales"	"Haloragaceae"	"Myriophyllum"	"Myriophyllum heterophyllum"	6	7707728	220	7219248	6694	2984253	5361762	FALSE	"Magnoliopsida"	NA	"Myriophyllum heterophyllum"	37
11742641	"Myriophyllum rubricaule Valk. & Duist."	"Myriophyllum rubricaule"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Saxifragales"	"Haloragaceae"	"Myriophyllum"	"Myriophyllum rubricaule"	6	7707728	220	7219248	6694	2984253	11742641	FALSE	"Magnoliopsida"	NA	"Myriophyllum rubricaule"	38
3039203	"Parthenocissus inserta (A.Kern.) Fritsch"	"Parthenocissus inserta"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Vitales"	"Vitaceae"	"Parthenocissus"	"Parthenocissus inserta"	6	7707728	220	7222050	6672	3039188	3039203	FALSE	"Magnoliopsida"	NA	"Parthenocissus inserta"	39
3039194	"Parthenocissus quinquefolia (L.) Planch."	"Parthenocissus quinquefolia"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Vitales"	"Vitaceae"	"Parthenocissus"	"Parthenocissus quinquefolia"	6	7707728	220	7222050	6672	3039188	3039194	FALSE	"Magnoliopsida"	NA	"Parthenocissus quinquefolia"	40
3039209	"Parthenocissus tricuspidata (Siebold & Zucc.) Planch."	"Parthenocissus tricuspidata"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Vitales"	"Vitaceae"	"Parthenocissus"	"Parthenocissus tricuspidata"	6	7707728	220	7222050	6672	3039188	3039209	FALSE	"Magnoliopsida"	NA	"Parthenocissus tricuspidata"	41
2870583	"Pistia stratiotes L."	"Pistia stratiotes"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Alismatales"	"Araceae"	"Pistia"	"Pistia stratiotes"	6	7707728	196	551	6979	2870582	2870583	FALSE	"Liliopsida"	NA	"Pistia stratiotes"	42
3021496	"Prunus laurocerasus L."	"Prunus laurocerasus"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Prunus"	"Prunus laurocerasus"	6	7707728	220	691	5015	3020559	3021496	FALSE	"Magnoliopsida"	NA	"Prunus laurocerasus"	43
3021850	"Prunus serotina Ehrh."	"Prunus serotina"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Prunus"	"Prunus serotina"	6	7707728	220	691	5015	3020559	3021850	FALSE	"Magnoliopsida"	NA	"Prunus serotina"	44
2889173	"Reynoutria japonica Houtt."	"Reynoutria japonica"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Caryophyllales"	"Polygonaceae"	"Reynoutria"	"Reynoutria japonica"	6	7707728	220	422	2416	8420120	2889173	FALSE	"Magnoliopsida"	NA	"Reynoutria japonica"	45
2889088	"Reynoutria sachalinensis (F.Schmidt) Nakai"	"Reynoutria sachalinensis"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Caryophyllales"	"Polygonaceae"	"Reynoutria"	"Reynoutria sachalinensis"	6	7707728	220	422	2416	8420120	2889088	FALSE	"Magnoliopsida"	NA	"Reynoutria sachalinensis"	46
4038485	"Reynoutria ×bohemica Chrtek & Chrtková"	"Reynoutria bohemica"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Caryophyllales"	"Polygonaceae"	"Reynoutria"	"Reynoutria bohemica"	6	7707728	220	422	2416	8420120	4038485	FALSE	"Magnoliopsida"	NA	"Reynoutria x bohemica"	47
3190538	"Rhus typhina L."	"Rhus typhina"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Sapindales"	"Anacardiaceae"	"Rhus"	"Rhus typhina"	6	7707728	220	933	2398	3190534	3190538	FALSE	"Magnoliopsida"	NA	"Rhus typhina"	48
5352251	"Robinia pseudoacacia L."	"Robinia pseudoacacia"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Robinia"	"Robinia pseudoacacia"	6	7707728	220	1370	5386	2952066	5352251	FALSE	"Magnoliopsida"	NA	"Robinia pseudoacacia"	49
3003979	"Rosa rugosa Thunb."	"Rosa rugosa"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Rosa"	"Rosa rugosa"	6	7707728	220	691	5015	8395064	3003979	FALSE	"Magnoliopsida"	NA	"Rosa rugosa"	50
2996525	"Rubus armeniacus Focke"	"Rubus armeniacus"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Rubus"	"Rubus armeniacus"	6	7707728	220	691	5015	2988638	2996525	FALSE	"Magnoliopsida"	NA	"Rubus armeniacus"	51
3114229	"Rudbeckia laciniata L."	"Rudbeckia laciniata"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Asterales"	"Asteraceae"	"Rudbeckia"	"Rudbeckia laciniata"	6	7707728	220	414	3065	3114220	3114229	FALSE	"Magnoliopsida"	NA	"Rudbeckia laciniata"	52
5274863	"Salvinia ×molesta D.S.Mitch."	"Salvinia molesta"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Salviniales"	"Salviniaceae"	"Salvinia"	"Salvinia molesta"	6	7707728	7228684	7229405	6629	7801597	5274863	FALSE	"Polypodiopsida"	NA	"Salvinia molesta"	53
5389029	"Solidago canadensis L."	"Solidago canadensis"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Asterales"	"Asteraceae"	"Solidago"	"Solidago canadensis"	6	7707728	220	414	3065	5388868	5389029	FALSE	"Magnoliopsida"	NA	"Solidago canadensis"	54
5389017	"Solidago gigantea Aiton"	"Solidago gigantea"	"SPECIES"	"ACCEPTED"	98	"EXACT"	"Plantae"	"Tracheophyta"	"Asterales"	"Asteraceae"	"Solidago"	"Solidago gigantea"	6	7707728	220	414	3065	5388868	5389017	FALSE	"Magnoliopsida"	NA	"Solidago gigantea"	55
3026585	"Spiraea alba Du Roi"	"Spiraea alba"	"SPECIES"	"ACCEPTED"	98	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Spiraea"	"Spiraea alba"	6	7707728	220	691	5015	3026392	3026585	FALSE	"Magnoliopsida"	NA	"Spiraea alba"	56
3027159	"Spiraea douglasii Hook."	"Spiraea douglasii"	"SPECIES"	"ACCEPTED"	99	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Spiraea"	"Spiraea douglasii"	6	7707728	220	691	5015	3026392	3027159	FALSE	"Magnoliopsida"	NA	"Spiraea douglasii"	57
3026454	"Spiraea salicifolia L."	"Spiraea salicifolia"	"SPECIES"	"ACCEPTED"	98	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Spiraea"	"Spiraea salicifolia"	6	7707728	220	691	5015	3026392	3026454	FALSE	"Magnoliopsida"	NA	"Spiraea salicifolia"	58
3026819	"Spiraea tomentosa L."	"Spiraea tomentosa"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Spiraea"	"Spiraea tomentosa"	6	7707728	220	691	5015	3026392	3026819	FALSE	"Magnoliopsida"	NA	"Spiraea tomentosa"	59
7889822	"Spiraea ×billardii Hérincq"	"Spiraea billardii"	"SPECIES"	"ACCEPTED"	97	"EXACT"	"Plantae"	"Tracheophyta"	"Rosales"	"Rosaceae"	"Spiraea"	"Spiraea billardii"	6	7707728	220	691	5015	3026392	7889822	FALSE	"Magnoliopsida"	NA	"Spiraea x billardii"	60
