taxonKey	year	classKey	obs	cobs	ncells	c_ncells	canonicalName	method	fit	ucl	lcl	em1	em2	em	em_status	growth
2650107	2001	7228684	4	5	2	2	Azolla filiculoides	correct_baseline	1.907019940981109	7.0150835490673735	0.5184150737282495	0	1	1	2	0.4655297477551788
2650107	2002	7228684	5	1	1	1	Azolla filiculoides	correct_baseline	1.3823456433241816	3.674743575470468	0.520003488235965	0	1	1	2	0.5588984330570912
2650107	2003	7228684	1	0	0	0	Azolla filiculoides	correct_baseline	1.1098022845490378	2.6098468737811387	0.4719284963281529	0	1	1	2	0.6679830637361066
2650107	2004	7228684	1	3	1	1	Azolla filiculoides	correct_baseline	0.9850923396019515	2.314827010574485	0.4192135797230112	0	1	1	2	0.7891690493836274
2650107	2005	7228684	2	0	0	0	Azolla filiculoides	correct_baseline	0.962293688442269	2.3080937585068493	0.401200834846016	0	1	1	2	0.9103032226612343
2650107	2006	7228684	2	1	1	1	Azolla filiculoides	correct_baseline	1.0257000273412789	2.4366846675831417	0.43175900438992804	1	1	4	3	1.0095891680225972
2650107	2007	7228684	4	2	1	1	Azolla filiculoides	correct_baseline	1.177532886933697	2.6614265398575343	0.520992662786263	1	1	4	3	1.07484401942131
2650107	2008	7228684	8	0	0	0	Azolla filiculoides	correct_baseline	1.4311152514662742	2.9832634908582394	0.6865269759964022	1	1	4	3	1.11494628146535
2650107	2009	7228684	3	1	1	1	Azolla filiculoides	correct_baseline	1.8034575598676452	3.4131505309297263	0.9529199315325265	1	0	3	3	1.1359456420007361
2650107	2010	7228684	5	3	1	1	Azolla filiculoides	correct_baseline	2.3025803642163667	3.9523994714506645	1.3414323051027044	1	0	3	3	1.1354817764816705
2650107	2011	7228684	19	6	5	5	Azolla filiculoides	correct_baseline	2.907399538470828	4.582992401267657	1.844422014307135	1	0	3	3	1.1087987577011924
2650107	2012	7228684	12	12	4	4	Azolla filiculoides	correct_baseline	3.5451960857887137	5.289113413651548	2.376280163373263	1	-1	2	2	1.055069348690203
2650107	2013	7228684	15	14	6	6	Azolla filiculoides	correct_baseline	4.08321379355471	6.0906206327388235	2.7374279058287216	0	-1	-1	0	0.9810020135662884
2650107	2014	7228684	30	20	8	8	Azolla filiculoides	correct_baseline	4.356507229980458	6.937266276080844	2.7358262591578275	0	-1	-1	0	0.8976438193581366
2650107	2015	7228684	23	14	7	7	Azolla filiculoides	correct_baseline	4.237155111636592	7.5358809085985605	2.3824001013050635	0	-1	-1	0	0.8137035869138652
2650107	2016	7228684	36	25	10	10	Azolla filiculoides	correct_baseline	3.710719131706933	7.481096127351386	1.8405640350046937	-1	-1	-4	0	0.7308880007637009
2650107	2017	7228684	31	116	16	16	Azolla filiculoides	correct_baseline	2.900943575402761	6.595951076818932	1.2758544643010197	-1	-1	-4	0	0.6431530269034916
2650107	2018	7228684	77	114	18	18	Azolla filiculoides	correct_baseline	2.013699417453533	5.148611715425322	0.7875881049067843	-1	-1	-4	0	0.5464116820599357
2650107	2019	7228684	28	4	2	2	Azolla filiculoides	correct_baseline	1.2377548356249939	3.6817723060152603	0.4161140086284047	-1	-1	-4	0	0.4486579852512542
2650107	2020	7228684	52	0	0	0	Azolla filiculoides	correct_baseline	0.6730448672820627	2.5889027226767514	0.17497350881780868	-1	-1	-4	0	0.3598842596682166
2650107	2021	7228684	56	0	0	0	Azolla filiculoides	correct_baseline	0.3237594597958335	1.9250689486603192	0.05445009534865526	-1	0	-3	0	0.28473483762736995
2650107	2022	7228684	69	0	0	0	Azolla filiculoides	correct_baseline	0.13781452742008907	1.5715812697453413	0.012085180915333817	-1	0	-3	0	0.2237010157913473
2650107	2023	7228684	68	0	0	0	Azolla filiculoides	correct_baseline	0.05192155423982879	1.4167120223144938	0.0019028904620116468	-1	0	-3	0	0.1752239904480394
2765942	2001	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2002	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2003	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2004	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2005	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2006	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2007	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2008	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2009	196	3	38	2	2	Pontederia crassipes	correct_baseline								
2765942	2010	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2011	196	2	5	1	1	Pontederia crassipes	correct_baseline								
2765942	2012	196	1	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2013	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2014	196	1	12	1	1	Pontederia crassipes	correct_baseline								
2765942	2015	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2016	196	1	5	1	1	Pontederia crassipes	correct_baseline								
2765942	2017	196	7	98	7	7	Pontederia crassipes	correct_baseline								
2765942	2018	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2019	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2020	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2021	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2022	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2765942	2023	196	0	0	0	0	Pontederia crassipes	correct_baseline								
2865448	2001	196	0	0	0	0	Elodea canadensis	correct_baseline								
2865448	2002	196	5	77	4	4	Elodea canadensis	correct_baseline								
2865448	2003	196	0	0	0	0	Elodea canadensis	correct_baseline								
2865448	2004	196	1	3	1	1	Elodea canadensis	correct_baseline								
2865448	2005	196	0	0	0	0	Elodea canadensis	correct_baseline								
2865448	2006	196	0	0	0	0	Elodea canadensis	correct_baseline								
2865448	2007	196	5	38	3	3	Elodea canadensis	correct_baseline								
2865448	2008	196	4	29	2	2	Elodea canadensis	correct_baseline								
2865448	2009	196	2	0	0	0	Elodea canadensis	correct_baseline								
2865448	2010	196	1	19	1	1	Elodea canadensis	correct_baseline								
2865448	2011	196	1	1	1	1	Elodea canadensis	correct_baseline								
2865448	2012	196	2	22	1	1	Elodea canadensis	correct_baseline								
2865448	2013	196	2	15	1	1	Elodea canadensis	correct_baseline								
2865448	2014	196	2	14	2	2	Elodea canadensis	correct_baseline								
2865448	2015	196	0	0	0	0	Elodea canadensis	correct_baseline								
2865448	2016	196	11	142	9	9	Elodea canadensis	correct_baseline								
2865448	2017	196	3	60	3	3	Elodea canadensis	correct_baseline								
2865448	2018	196	7	262	4	4	Elodea canadensis	correct_baseline								
2865448	2019	196	1	0	0	0	Elodea canadensis	correct_baseline								
2865448	2020	196	5	0	0	0	Elodea canadensis	correct_baseline								
2865448	2021	196	1	0	0	0	Elodea canadensis	correct_baseline								
2865448	2022	196	0	0	0	0	Elodea canadensis	correct_baseline								
2865448	2023	196	0	0	0	0	Elodea canadensis	correct_baseline								
2867614	2001	196	11	91	4	4	Lemna minuta	correct_baseline	10.170624654541763	18.413928614501454	5.617573958775412	0	0	0	1	0.8426028789857692
2867614	2002	196	10	57	7	7	Lemna minuta	correct_baseline	9.782126138417924	15.408556560206417	6.210185322293244	0	0	0	1	0.8653343677161707
2867614	2003	196	3	0	0	0	Lemna minuta	correct_baseline	9.46916629037841	13.597101698104321	6.5944281528275805	0	0	0	1	0.8878960875362119
2867614	2004	196	22	364	19	19	Lemna minuta	correct_baseline	9.22482243292465	12.631855510344796	6.73672595837562	0	0	0	1	0.9094775178327905
2867614	2005	196	19	196	14	14	Lemna minuta	correct_baseline	9.042765134040545	12.208914727039641	6.69769615871884	0	0	0	1	0.9288422944360921
2867614	2006	196	9	122	8	8	Lemna minuta	correct_baseline	8.916572385118966	12.069373923460057	6.587356030500173	0	0	0	1	0.9445531060064243
2867614	2007	196	27	351	22	22	Lemna minuta	correct_baseline	8.8391136009397009	12.051403346767817	6.483056537251459	0	0	0	1	0.9556022917947824
2867614	2008	196	21	241	16	16	Lemna minuta	correct_baseline	8.802025302033053	12.08365569771403	6.411606831224658	0	0	0	1	0.9622345901123535
2867614	2009	196	16	232	13	13	Lemna minuta	correct_baseline	8.79530237964106	12.1441564378942	6.36992320915239	0	0	0	1	0.9657774776907649
2867614	2010	196	9	108	7	7	Lemna minuta	correct_baseline	8.80704733428376	12.225665008589363	6.344365128099013	0	0	0	1	0.9674404237859612
2867614	2011	196	37	236	25	25	Lemna minuta	correct_baseline	8.82344236568686	12.315952847170047	6.321324557400104	0	0	0	1	0.9676668007907583
2867614	2012	196	25	315	24	24	Lemna minuta	correct_baseline	8.829022252581874	12.390585161619889	6.2911987545223305	0	0	0	1	0.9662827270572668
